epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_balanced_accuracy,val_balanced_accuracy,train_macro_f1,val_macro_f1
1,1.1520802567445156,0.6068793733566128,0.6154961340206185,0.8426900584795322,0.6155167561978454,0.8032548615906823,0.6078211470836191,0.8073909259579226
2,0.6514730436607492,0.4302572062489582,0.8504080756013745,0.9374269005847953,0.8503838012435998,0.9284719647384813,0.8496919597169229,0.9306574446557558
3,0.535402214322479,0.44871097363923723,0.8965850515463918,0.9216374269005848,0.8965912549659972,0.923861726195221,0.8963668269544247,0.911361658559713
4,0.4818050124614536,0.47636194765916345,0.9182237972508591,0.9128654970760234,0.9182121145253848,0.9256898972585123,0.9181238841904851,0.9080733394593385
5,0.4436476964295678,0.33660111803757514,0.9354059278350515,0.9713450292397661,0.9354006137813254,0.9687151069760587,0.9353755750893068,0.970780707042042
6,0.4349232243365996,0.36747722594361554,0.938573883161512,0.9567251461988304,0.9385829152180912,0.9427812792524699,0.9385532242944861,0.9521942132049958
7,0.41075240465704466,0.3498688075626106,0.9503865979381443,0.9643274853801169,0.9503797148114169,0.9666875537855654,0.9503580601855677,0.96574802487845
8,0.3977220895975956,0.34819420844490767,0.9522658934707904,0.9713450292397661,0.9522671396168079,0.9670384576762256,0.9522920052218902,0.9695131548953134
9,0.38564928642158347,0.36945049713926703,0.9564540378006873,0.9584795321637427,0.9564509145309218,0.9534275705436179,0.9564412313343463,0.9546245057262286
10,0.35183603748231485,0.3269779290372168,0.9705219072164949,0.9771929824561404,0.9705132270155699,0.9756801037869126,0.9705150929643163,0.9785848399730979
11,0.3465041355513708,0.31317568132054735,0.9725085910652921,0.9830409356725146,0.9725128994800434,0.9849515542425473,0.9725022809721056,0.9825593883253096
12,0.3360942129925085,0.34084102187240334,0.9755154639175257,0.9725146198830409,0.9755154156881396,0.9736327055711463,0.9754955599048087,0.9756729558360785
13,0.3355550261526149,0.3418226851008789,0.9756765463917526,0.9701754385964912,0.9756722647438898,0.9739514844151645,0.9756744598955738,0.9738130307817241
14,0.33213571657950275,0.3107081871283682,0.9776632302405498,0.9824561403508771,0.9776616050401897,0.9813202556729926,0.9776626192886834,0.9830112458958289
15,0.3255210293209092,0.3179777114014877,0.9794351374570447,0.9777777777777777,0.9794329426123112,0.978409055708977,0.979429679248703,0.9801386328265854
16,0.3273250126531707,0.3234988097907507,0.9787908075601375,0.9766081871345029,0.9787883332471325,0.976050361807292,0.9787858538173007,0.9786795418860784
17,0.3274611033083543,0.3207903954717848,0.978844501718213,0.9789473684210527,0.9788444024057911,0.9783817194318292,0.9788367447847135,0.9810944416092996
18,0.3237393710746274,0.35909667279985213,0.9812070446735395,0.9631578947368421,0.981210755076194,0.9592860097691327,0.981202318820718,0.964286810570218
19,0.31192839836358,0.311877987817017,0.984911941580756,0.980701754385965,0.9849139682839563,0.9818032523497318,0.9849197682775415,0.9832442488077224
20,0.30456988765446413,0.3115142948446218,0.9877577319587629,0.980701754385965,0.9877594348464356,0.9811247975625907,0.9877655682464823,0.9820388199557439
21,0.30799635510587897,0.31032767762914737,0.985985824742268,0.9812865497076023,0.9859904539836906,0.9814626848004373,0.9859934352475781,0.9834164653549746
22,0.3045388166484915,0.3308572484735857,0.9874355670103093,0.9760233918128655,0.9874380557376319,0.9786009044331866,0.9874400744606815,0.9788669328306698
23,0.3021083538112722,0.31932408203158463,0.9884557560137457,0.980701754385965,0.9884536975740956,0.9801546712927348,0.9884470513286281,0.9819903183693508
24,0.30324334075010895,0.32192460587847305,0.9884020618556701,0.9783625730994152,0.9884017817139987,0.9774795165113888,0.9884025050595744,0.9807477323790167
25,0.3035306218356022,0.30678161386160824,0.9886168384879725,0.9842105263157894,0.9886160761405605,0.985079513853053,0.988618581835115,0.9858556040102586
26,0.3010846488465567,0.325794521026444,0.9889390034364262,0.9766081871345029,0.9889386340873059,0.9779995738312952,0.9889333277682195,0.9785198431874775
27,0.3021347244921672,0.31367608015997367,0.9887242268041238,0.9836257309941521,0.9887194337409366,0.9847274299936686,0.9887187839292884,0.9853393652018004
28,0.3007605113185015,0.3067912546514768,0.9893148625429553,0.9824561403508771,0.9893144665112741,0.9847593530249011,0.989309211002479,0.9855029239551442
29,0.2987721510199518,0.31106561429319324,0.9888853092783505,0.9842105263157894,0.988882236199082,0.9848736753864806,0.9888766973297594,0.9861916233125461
30,0.29205513926534693,0.3123506878203119,0.9914089347079038,0.9812865497076023,0.9914047309778432,0.9822291708258668,0.9914004334003698,0.9838711766033956
31,0.29410663669201437,0.31353796870387785,0.9911941580756014,0.9789473684210527,0.9911951949973182,0.9785080764841266,0.9911973600987052,0.9814787589685872
32,0.2912103004721613,0.30387493602016513,0.9919458762886598,0.9842105263157894,0.9919449750982192,0.9841150434597473,0.9919417222776297,0.985785954146971
33,0.28917795823878994,0.3021642301863397,0.9925365120274914,0.9853801169590644,0.9925365566115033,0.986085891292364,0.9925338352871771,0.9870910014738685
34,0.290994251848802,0.311791816022661,0.9919458762886598,0.9824561403508771,0.991944697907943,0.9827520797430372,0.9919415708632432,0.984894765171784
35,0.2895441202135045,0.32197613109622086,0.9928049828178694,0.9777777777777777,0.9928053054038269,0.978064861268874,0.9928032882901784,0.9805950065151325
36,0.290923268088967,0.3106233707645483,0.992053264604811,0.9818713450292398,0.9920539786434495,0.9817435399240066,0.9920514442946383,0.9840505940224646
37,0.2919939130160942,0.31416114206202544,0.9919995704467354,0.980701754385965,0.9920003521636638,0.9825819563229118,0.9919984443942971,0.9828435214430062
38,0.2858398196523282,0.31264834951239023,0.9940399484536082,0.980701754385965,0.9940405230358506,0.9815306857470485,0.994041479003154,0.9832168230220332
39,0.2872231396994366,0.31855494986500654,0.9935030068728522,0.980701754385965,0.993503627761544,0.9812012289812507,0.993501232737852,0.9835020109205959
40,0.28763824072006944,0.3152982979490046,0.9933419243986255,0.9818713450292398,0.993339729176104,0.9821455957113108,0.9933394130344739,0.9842698505851681
41,0.2858687262678351,0.32215074447163367,0.9943084192439863,0.9801169590643275,0.9943086480455139,0.9815903564180044,0.9943063106706198,0.9832553620715875
