,basophil,eosinophil,erythroblast,ig,lymphocyte,monocyte,neutrophil,platelet
basophil,0.9959016393442623,0.0,0.0,0.004098360655737705,0.0,0.0,0.0,0.0
eosinophil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
erythroblast,0.0,0.0,0.9870967741935484,0.0064516129032258064,0.0032258064516129032,0.0,0.0,0.0032258064516129032
ig,0.0,0.0,0.0,0.9740932642487047,0.0,0.0034542314335060447,0.022452504317789293,0.0
lymphocyte,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
monocyte,0.0,0.0,0.0,0.014084507042253521,0.014084507042253521,0.971830985915493,0.0,0.0
neutrophil,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.990990990990991,0.0
platelet,0.0,0.0,0.0,0.0,0.002127659574468085,0.0,0.0,0.997872340425532
